workload,fixture,operations,A_median_rate_per_second,B_median_rate_per_second,B_over_A_median,ci95_low,ci95_high,A_p95_rate_per_second,B_p95_rate_per_second,A_median_runner_rss_kib,B_median_runner_rss_kib,digest
legal_count,midgame_250,100000,1164903.398987755,1170679.0187663476,1.0056750658441784,0.9973827571825161,1.0096714573853718,1177107.3063497806,1185550.1589970957,5496.0,5500.0,6d9802c2ed236f83
legal_codes,midgame_250,20000,156948.26897948148,157040.809669122,1.0002642067927314,0.9999686963393499,1.0017316479382934,157112.5195009041,157152.8183865026,5504.0,5504.0,9e5be642d05486c3
legal_actions,midgame_250,20000,170006.13254621628,170391.6931868558,1.0015853310246265,1.0006046312953367,1.0039205222680403,171734.14486188997,172251.78881114218,5504.0,5504.0,9e5be642d05486c3
random_selfplay_apply,initial,250000,1687481.9819111382,1687220.2373725856,1.0000296812970226,0.9991246667341608,1.0005541663801438,1690775.1248321254,1690293.5104757326,5504.0,5500.0,3c120106773c3dee
apply_only,midgame_250,2000000,22452686.576212276,22492634.16839412,1.003205234305727,0.9982734988110105,1.0146123979051618,22688324.093815856,22683058.548682794,7452.0,7448.0,764674ab4e988569
apply_exact_hash,midgame_250,2000000,11158894.738257524,11118674.095000943,0.9963892014336159,0.9923708076813836,0.9997250218485555,11275038.83813972,11202805.765109483,7456.0,7448.0,7b64b5d73134d9fc
apply_observable_hash,midgame_250,2000000,16450931.075813737,16414527.352425622,0.9966509291757665,0.9920422812273566,1.0034361150477427,16586040.954069877,16562453.226596935,7456.0,7456.0,ea9d89797e52b140
cold_hash,midgame_250,5000000,17194977.004692987,17308840.636095323,0.9985608603087583,0.9974678357347635,1.0035019240949976,17415149.109412264,17401906.073232852,5500.0,5504.0,554005299989d381
cached_hash,midgame_250,20000000,166653396.8899393,166647763.25538805,1.0005367619087098,0.9959626266414237,1.004745037701645,167534767.61076474,168076459.79678732,5500.0,5500.0,82de78b61e73ba4b
clone_light,midgame_250,2000000,29944517.301118623,29760453.496932894,0.9990557305709957,0.9809528124996011,1.0006588959291267,30263937.549517475,30197692.05985056,5504.0,5500.0,89d2d5e057edcb83
determinization_clone,hidden_reserve,200000,3030497.946420948,3034124.7863009023,1.0004279185613902,0.9946007749427774,1.0065165405317642,3047733.619182301,3047690.334547254,5504.0,5504.0,a7376a5c694d3bcc
state_encoder,midgame_250,500000,1597945.9823373086,1600821.7004982084,1.0003588903818734,0.9989679575798124,1.0018854061774827,1604588.5430138023,1603556.9715890114,5488.0,5504.0,5751a7c432f052c3
action_mask,midgame_250,20000000,26105702.118405934,26099624.587306373,0.9996026915109648,0.998056043699733,1.0017069545185848,26228793.569591597,26255779.781621516,5504.0,5500.0,3606c9ab74d7af83
decode_apply,midgame_250,2000000,15850174.764819466,15802383.108409192,0.9963080576296162,0.9929998863988918,1.003591754271049,15951506.017972833,15933344.954584032,7588.0,7588.0,727eb52ac11074e6
legacy_mcts,midgame_250,65536,292981.06842313206,299284.906082989,1.0154690106181565,0.998875389215525,1.0207787387623701,298879.70913517056,302720.1094285896,102784.0,102780.0,0ab37fc767a05581
shared_tree,midgame_250,2000000,3605720.2523468365,3468449.7592286286,0.9650969015485032,0.9525307465630845,0.971557671161766,3628883.4058033144,3526555.924452701,5504.0,5504.0,a8e81331dcb0c399
parallel_scheduler,midgame_250,4096,269910.2462766257,268832.5539420789,0.9951932494458731,0.9921747583814626,0.9993567784700764,272221.99810282,270823.7226505893,10716.0,10724.0,f2563dd286296a84
board_copy_restore,midgame_250,2000000,18258556.4045835,18381896.60383523,1.0049201339140523,0.9957660426095487,1.0199420283298426,18479042.663628343,18489073.81249648,5504.0,5504.0,c35f3a2d19cd3783
solver_state_key,reveal_heavy,2000000,7028712.977813885,7030402.688178518,1.001295074209579,1.0000253552419498,1.002105207576067,7042826.073128086,7048801.236982851,5536.0,5528.0,09fabd6c0473eb83
solver_tt,midgame_250,20000000,37146402.30528047,37155725.98077894,0.9991735504706909,0.9972544734919957,1.0018070364121496,37326045.62697372,37303082.274419285,5536.0,5656.0,575c26bfdff10f4a
visible_solver,five_moves,100000,667390.9504710288,665810.3768185121,0.9958453460872776,0.9925889858997115,1.002389017575639,669457.9851248042,671525.5705151978,12996.0,12948.0,b6cdbdc80156e463
exact_reveal,five_moves,139868,499832.44456324365,500305.75174374896,1.0010131872817556,0.9967391944210742,1.0080757115206824,503032.9794244737,504134.54266319843,16188.0,16188.0,9dd9c11919a4581a
