workload,fixture,operations,A_median_rate_per_second,B_median_rate_per_second,B_over_A_median,ci95_low,ci95_high,A_p95_rate_per_second,B_p95_rate_per_second,A_median_runner_rss_kib,B_median_runner_rss_kib,digest
legal_count,midgame_250,100000,1152363.291546998,1156408.5848358478,1.0047463756348907,1.0021724133279506,1.0292389500480068,1159437.161656912,1162458.6914374526,5508.0,5528.0,6d9802c2ed236f83
legal_codes,midgame_250,20000,123114.03370545243,123051.58827507653,0.9968136610845669,0.9843218156812477,1.0026719061108873,165976.213434399,165948.56940132933,5532.0,5524.0,9e5be642d05486c3
legal_actions,midgame_250,20000,128823.87635703941,128912.60834529567,0.9996959970010436,0.9928759738229431,1.0070411642157815,167949.58572261044,170279.42184521037,5540.0,5508.0,9e5be642d05486c3
random_selfplay_apply,initial,250000,1652473.2787718175,1589093.0475944676,0.9716553043239273,0.9184274034749732,0.9987713899765174,1672381.3605073448,1676543.4478712936,5528.0,5526.0,3c120106773c3dee
apply_only,midgame_250,2000000,21369695.009412553,21237473.78339579,1.0005121757770987,0.9945399196160649,1.01273401647807,21758769.264014352,21840635.090967335,7484.0,7482.0,764674ab4e988569
apply_exact_hash,midgame_250,2000000,10919251.844102332,10890955.630627744,1.0085197124350431,0.9937420334741621,1.061992771610758,11096050.158812236,11083864.35291858,7490.0,7482.0,7b64b5d73134d9fc
apply_observable_hash,midgame_250,2000000,16025574.748936277,16194871.254228484,1.0083938213884616,0.9992322165197607,1.0149140004542558,16312209.825135285,16434130.040730318,7460.0,7482.0,ea9d89797e52b140
cold_hash,midgame_250,5000000,16795667.165213898,16780464.08499108,0.9993689637955863,0.9973722171015115,1.0109516956207776,17179106.871813312,17173525.551877208,5524.0,5504.0,554005299989d381
cached_hash,midgame_250,20000000,165439878.23194364,165158761.07514113,0.9985245907950796,0.9962170802569421,1.0018817848162507,166530683.70460364,166273840.91966155,5538.0,5506.0,82de78b61e73ba4b
clone_light,midgame_250,2000000,29796561.486202404,29773578.548386052,0.9975731550153804,0.9888231051120019,1.002832672438213,30105754.14707219,30050557.33692209,5528.0,5532.0,89d2d5e057edcb83
determinization_clone,hidden_reserve,200000,2989006.2678898354,3000049.3905817275,0.9996759659295111,0.9989284515421452,1.0114244841986575,3021762.8246309455,3020079.6932723247,5496.0,5502.0,a7376a5c694d3bcc
state_encoder,midgame_250,500000,1575816.3158189007,1569853.8636199473,1.000108102984193,0.9940440421185428,1.0028207920874412,1590677.6484712353,1587358.4826057593,5534.0,5500.0,5751a7c432f052c3
action_mask,midgame_250,20000000,25559757.932722207,25540421.186192676,0.9962379491079528,0.9265552654036626,1.0475778972063818,25809814.663300924,25848917.392291844,5504.0,5524.0,3606c9ab74d7af83
decode_apply,midgame_250,2000000,15320687.014683299,15291324.145062424,1.0044124375749974,0.981584663286144,1.014255949692881,15670656.145133132,15707746.65891907,7596.0,7584.0,727eb52ac11074e6
legacy_mcts,midgame_250,65536,255854.98265795957,253248.74826969375,1.0109912864989954,0.954935249090877,1.0378343118915518,279213.31160538306,273428.05819611374,102994.0,102986.0,0ab37fc767a05581
shared_tree,midgame_250,2000000,3451651.429881607,3449003.2236399683,0.9888649248315199,0.9807926250382437,1.0068680018261533,3558022.715110196,3506988.1777034146,5538.0,5532.0,a8e81331dcb0c399
parallel_scheduler,midgame_250,4096,257448.08253390001,253916.47669410732,0.9952201337026332,0.9624700640497142,1.0197149439525046,268656.7443472373,267020.84852771554,10956.0,10966.0,f2563dd286296a84
board_copy_restore,midgame_250,2000000,17398623.501196153,17235775.905982018,0.9907079696271127,0.9811244462672677,1.0336962786478314,17601436.26173093,17641205.76762887,5518.0,5532.0,c35f3a2d19cd3783
solver_state_key,reveal_heavy,2000000,6750749.6681223,6820108.58258093,0.9997137391499411,0.9644693729252714,1.0332428885906486,6969802.004655703,6959675.89161796,5678.0,5596.0,09fabd6c0473eb83
solver_tt,midgame_250,20000000,36576503.37321607,36559677.55431302,1.0028026749438197,1.0000080614202511,1.008918847578926,36886488.477996126,36887864.57275399,5680.0,5718.0,575c26bfdff10f4a
visible_solver,five_moves,100000,661745.8649824725,664985.928427144,1.0044182347375958,0.9971753465937467,1.0109326134368193,668928.7167905616,669744.8173070272,12992.0,12852.0,b6cdbdc80156e463
exact_reveal,five_moves,139868,492942.0496448636,493950.53675966215,1.0003709839447217,0.9942012331897679,1.0061680707197083,497596.14555955597,498162.74326772394,16236.0,16214.0,9dd9c11919a4581a
