status,path,classification,reason
A,CHANGELOG.md,documentation,"Adoption/rejection history, API docs, review or release preparation"
M,CMakeLists.txt,adopted_code,Retained adoption and reference/fallback paths; F1 source/binary evidence reused
M,README.en.md,documentation,"Adoption/rejection history, API docs, review or release preparation"
M,README.md,documentation,"Adoption/rejection history, API docs, review or release preparation"
M,csplendor/features.py,adopted_code,Retained adoption and reference/fallback paths; F1 source/binary evidence reused
M,doc/api_ref.md,documentation,"Adoption/rejection history, API docs, review or release preparation"
A,doc/csplendor_codex56_engine_optimization_request.md,documentation,"Adoption/rejection history, API docs, review or release preparation"
A,doc/performance_experiments/baseline_20260901.csv,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/baseline_20260901.json,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/baseline_20260902.md,documentation,"Adoption/rejection history, API docs, review or release preparation"
A,doc/performance_experiments/baseline_slot_crossover_20260902.csv,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/baseline_slot_crossover_20260902.json,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/characterization_manifest_20260902.json,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/differential_20260902.json,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/f2_acceptance_probe_20260906.py,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/f2_f3_finalize_20260906.py,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/f2_f3_manifest_20260906.json,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/f2_f3_record_20260906.py,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/f2_f3_reproduction_20260906.md,documentation,"Adoption/rejection history, API docs, review or release preparation"
A,doc/performance_experiments/f2_f3_shipping_review_20260906.md,documentation,"Adoption/rejection history, API docs, review or release preparation"
A,doc/performance_experiments/f3_diff_inventory_20260906.csv,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/f3_pr_draft_20260906.md,documentation,"Adoption/rejection history, API docs, review or release preparation"
A,doc/performance_experiments/f4_integration_runbook_20260906.md,documentation,"Adoption/rejection history, API docs, review or release preparation"
A,doc/performance_experiments/final_common_adapter/CMakeLists.txt,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/final_integration_finalize_20260906.py,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/final_integration_plan_20260906.md,documentation,"Adoption/rejection history, API docs, review or release preparation"
A,doc/performance_experiments/final_integration_record_20260906.py,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/final_main_vs_candidate_20260906.csv,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/final_main_vs_candidate_20260906.md,documentation,"Adoption/rejection history, API docs, review or release preparation"
A,doc/performance_experiments/final_main_vs_candidate_manifest_20260906.json,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/finalization_scope_20260906.md,documentation,"Adoption/rejection history, API docs, review or release preparation"
A,doc/performance_experiments/finalization_scope_manifest_20260906.json,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/finalization_scope_record_20260906.py,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/fixtures_20260902.json,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/hotspots_20260902.csv,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/instrumentation_20260902.json,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/mcts_matrix_20260902.csv,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/mcts_retained_20260902.csv,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/native_proof_batch_driver/CMakeLists.txt,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/phase0_paired_evidence_20260902.json,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/phase1a_exact_hash_20260902.md,documentation,"Adoption/rejection history, API docs, review or release preparation"
A,doc/performance_experiments/phase1a_paired_20260902.csv,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/phase1a_paired_evidence_20260902.json,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/phase1b_observable_hash_20260902.md,documentation,"Adoption/rejection history, API docs, review or release preparation"
A,doc/performance_experiments/phase1b_paired_20260902.csv,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
A,doc/performance_experiments/phase1b_paired_evidence_20260902.json,measurement_support,"Evidence/manifest/CSV, isolated driver or verification helper; not production patch"
