measurement,classification,workload,fixture,pairs,speedup,ci95_low,ci95_high,A_ms,B_ms,A_rate_per_second,B_rate_per_second,A_current_rss_kib,B_current_rss_kib,A_runner_peak_rss_kib,B_runner_peak_rss_kib,raw
code_formal_actions,S0,legal_actions,midgame_250,22,2.007903106648421,1.959193871386914,2.056967536266405,1161.876122,577.746654,172136.23626860944,346225.93932643835,5664.0,5756.0,5728.0,5666.0,doc/performance_experiments/raw/final_integration_20260906/code_formal_actions.json.gz
code_formal_codes,S0,legal_codes,midgame_250,22,2.438275303727783,2.429007155785378,2.446618175939385,1287.2801065,528.5405895,155366.3410173551,378400.46767974563,5672.0,5760.0,5628.0,5706.0,doc/performance_experiments/raw/final_integration_20260906/code_formal_codes.json.gz
code_formal_count,S0,legal_count,midgame_250,22,2.628875694269485,2.614678319138616,2.651074934997632,168.763144,64.248044,1185092.9085133034,3112937.545543293,5670.0,5702.0,5726.0,5732.0,doc/performance_experiments/raw/final_integration_20260906/code_formal_count.json.gz
code_formal_features,S0,python_featurize,reachable_32_seed42,22,12.683720507395975,12.563442604367939,13.149733123667831,354.943574,27.7136145,140868.6124780997,1804167.810859125,,,40700.0,40856.0,doc/performance_experiments/raw/final_integration_20260906/code_formal_features.json.gz
code_formal_legacy,S0,legacy_mcts,hidden_reserve,22,1.125285226642872,1.0907347859180456,1.1293943844994783,25.4033045,22.874007,393651.3989594998,437177.6309638946,22364.0,21818.0,22352.0,21860.0,doc/performance_experiments/raw/final_integration_20260906/code_formal_legacy.json.gz
code_formal_pipeline,S0,python_feature_pipeline,reachable_32_seed42,22,6.173640721507279,6.046589166448833,6.376394598085235,419.3099505,67.48,119243.54512906141,740960.2872895075,,,40742.0,40858.0,doc/performance_experiments/raw/final_integration_20260906/code_formal_pipeline.json.gz
code_formal_primary,S0,exact_reveal,hidden_reserve,22,2.3967162167112135,2.3495562884059624,2.44126808099605,2510.3560405,1055.1729225,398357.37724032416,947719.2267263194,70192.0,49188.0,75256.0,54170.0,doc/performance_experiments/raw/final_integration_20260906/code_formal_primary.json.gz
code_formal_random,S0,random_selfplay_apply,initial,22,1.6517079010114113,1.647642702438839,1.657388574236488,60.407722,36.5383005,1655417.596641097,2736854.381938096,5634.0,5684.0,5574.0,5700.0,doc/performance_experiments/raw/final_integration_20260906/code_formal_random.json.gz
code_formal_root,S0,root_parallel,hidden_reserve,22,1.0133404791326739,0.9803823035935672,1.0720279466155125,13.5409875,13.4636455,738501.4885219646,742741.3810550258,12646.0,12632.0,22574.0,22502.0,doc/performance_experiments/raw/final_integration_20260906/code_formal_root.json.gz
code_formal_serial,S0,parallel_scheduler,five_moves,22,1.0442127262649563,1.0283448051246242,1.057680777939608,100.0363765,96.348889,199927.3769777754,207579.47683319697,26868.0,26876.0,26756.0,26758.0,doc/performance_experiments/raw/final_integration_20260906/code_formal_serial.json.gz
code_formal_shallow,S0,exact_reveal,five_moves,22,1.9580232300206515,1.9436372343121944,2.0204561456607304,3.377043,1.7194455,413675.51596282935,812471.2514458527,6196.0,6316.0,6296.0,6414.0,doc/performance_experiments/raw/final_integration_20260906/code_formal_shallow.json.gz
code_formal_shared,S1,parallel_scheduler,hidden_reserve,22,0.9886657043329321,0.8586011274014541,1.3241482565439773,57.5171695,57.102811,347727.4801916673,350245.4890884807,20938.0,21174.0,38924.0,38918.0,doc/performance_experiments/raw/final_integration_20260906/code_formal_shared.json.gz
code_formal_v3,S0,v3_selfplay,initial,22,1.2289411082635049,1.2001906206842852,1.2504182572320923,19.1848005,15.5463805,521252.3554426232,643236.6368293525,5668.0,5746.0,5568.0,5660.0,doc/performance_experiments/raw/final_integration_20260906/code_formal_v3.json.gz
code_formal_visible,S0,visible_solver,five_moves,22,1.413947113240342,1.4009567339717748,1.4387966427120538,161.194422,113.440933,620369.4133702426,881516.0529695838,12842.0,11284.0,12938.0,11540.0,doc/performance_experiments/raw/final_integration_20260906/code_formal_visible.json.gz
code_formal_warm,S0,exact_reveal,five_moves,22,2.139462666452445,2.125637649239778,2.166872505963051,498.360343,232.1074435,1003291.8522060029,2154174.8454207685,44204.0,31626.0,46490.0,33830.0,doc/performance_experiments/raw/final_integration_20260906/code_formal_warm.json.gz
code_holdout_features,S0,python_featurize,reachable_32_seed42,22,12.808021187338863,12.513824948082178,13.048279755981634,372.1448245,29.037661,134356.6076492197,1721904.9915291164,,,40742.0,40846.0,doc/performance_experiments/raw/final_integration_20260906/code_holdout_features.json.gz
code_holdout_pipeline,S0,python_feature_pipeline,reachable_32_seed42,22,6.043586679140465,5.731832727084784,6.164447312475659,529.33217,89.371565,94459.92281523018,559464.2592095255,,,40716.0,40858.0,doc/performance_experiments/raw/final_integration_20260906/code_holdout_pipeline.json.gz
code_holdout_primary,S0,exact_reveal,hidden_reserve,22,2.37263719590039,2.3606073497901066,2.403118322208473,2505.494368,1051.156627,399122.8640014536,951333.0119757885,70152.0,49208.0,75250.0,54182.0,doc/performance_experiments/raw/final_integration_20260906/code_holdout_primary.json.gz
code_smoke_features,S0,python_featurize,reachable_32_seed42,4,13.205267817900786,12.600170413571027,13.810365222230548,371.265492,28.250745,134827.05968893992,1769977.342136479,,,40692.0,40874.0,doc/performance_experiments/raw/final_integration_20260906/code_smoke_features.json.gz
code_smoke_pipeline,S0,python_feature_pipeline,reachable_32_seed42,4,6.1749818952627376,6.156170062291255,6.19379372823422,412.0995485,66.678921,121329.97916589389,749862.1914907087,,,40670.0,40868.0,doc/performance_experiments/raw/final_integration_20260906/code_smoke_pipeline.json.gz
code_smoke_primary,S0,exact_reveal,hidden_reserve,4,2.474470039930474,2.386538568125887,2.562401511735062,2488.8679805,1031.1314305,401789.0962844507,969811.8064592296,70082.0,49160.0,75138.0,54112.0,doc/performance_experiments/raw/final_integration_20260906/code_smoke_primary.json.gz
