rank,self_percent,self_seconds,symbol,domain,interpretation
1,9.44,1.64,"run_solver_tt(...) benchmark lambda",harness,"Synthetic TT lookup/store workload body"
2,8.46,1.47,"scheduler_formal_trace_once inference callback std::function invoke",harness,"Thread-reached gprof arc counts are unreliable; self-sample attribution is diagnostic only"
3,7.83,1.36,"MoveGenerator::emit_take_different<legal_action_codes>",rules,"Packed legal-code enumeration"
4,7.19,1.25,"ConcurrentTree::select_and_reserve_bits(...) lambda",mcts,"Shared-tree selection and virtual-loss reservation"
5,6.67,1.16,"main",harness,"Inlining and otherwise unattributed harness work"
6,5.24,0.91,"MoveGenerator::emit_take_different<generate_all>",rules,"Full Action enumeration"
7,4.37,0.76,"parallel_scheduler_search inference callback std::function manager",harness,"Optimized callback attribution; not an engine hotspot alone"
8,3.05,0.53,"MCTS::select_action_with_virtual_loss_for_world_bits",mcts,"Legacy MCTS selection"
9,2.70,0.47,"MoveGenerator::consume_all_capped<legal_action_codes> sink",rules,"Packed-code emission"
10,2.65,0.46,"MoveGenerator::consume_all_capped<generate_all> sink",rules,"Full Action emission"
11,2.59,0.45,"MoveGenerator::count_return_combinations",rules,"Token-return combination counting"
12,2.53,0.44,"Action::pack",rules,"Packed action conversion"
13,2.42,0.42,"MoveGenerator::emit_return_combinations<generate_all>",rules,"Return-action enumeration"
14,2.30,0.40,"digest_solver_key",harness,"Benchmark digest overhead"
15,2.24,0.39,"MoveGenerator::count_all_fixed sink",rules,"Legal-action count pre-pass"
16,1.78,0.31,"MoveGenerator::consume_all_capped<generate_all> pass sink",rules,"Action enumeration pass"
17,1.61,0.28,"VisibleOnlySolver::VisibleOnlySolver",solver,"Call cardinality is implausible after threaded merge; self-sample attribution only"
18,1.50,0.26,"_init",harness,"Runtime initialization attribution; not actionable engine work"
19,1.44,0.25,"rules::gems_after_token_action",rules,"Token-action legality state calculation"
20,1.38,0.24,"solver_internal::CardIdSet::add",solver,"Hidden-card set reconstruction"
