backend,threads,simulations,batch,latency_us,determinization,median_sims_per_s,mean_sims_per_s,p95_sims_per_s,tree_size,inference_requests,waiters
legacy,1,4096,16,0,0,557432.11,540145.82,561953.52,4081,4096,0
coarse,1,4096,16,0,0,312802.56,312110.27,313740.41,4087,4086,10
sharded,1,4096,16,0,0,307582.65,307675.99,308039.64,4087,4086,10
root,1,4096,16,0,0,298783.17,291736.66,301627.65,4097,4096,0
coarse,2,4096,16,0,0,174437.67,173200.39,175724.86,4097,4096,0
sharded,2,4096,16,0,0,374204.86,374486.11,378720.53,4097,4096,0
root,2,4096,16,0,0,572697.01,564205.87,576307.24,4098,4096,0
coarse,4,4096,16,0,0,187313.90,184295.82,188161.85,4097,4096,0
sharded,4,4096,16,0,0,458680.15,457042.15,461146.44,4090,4089,7
root,4,4096,16,0,0,1031948.58,1020736.20,1040793.73,4100,4096,0
coarse,8,4096,16,0,0,183205.04,168795.82,184450.08,4089,4088,8
sharded,8,4096,16,0,0,412375.37,411907.59,421536.83,4092,4091,5
root,8,4096,16,0,0,1754444.58,1725591.57,1767283.76,4104,4096,0
legacy,1,4096,16,0,1,409372.31,398813.18,412828.11,4081,4096,0
coarse,1,4096,16,0,1,368077.04,368222.73,369255.88,4091,4090,6
sharded,1,4096,16,0,1,363775.85,363633.43,364058.66,4091,4090,6
root,1,4096,16,0,1,347355.49,337113.85,349681.75,4096,4095,1
coarse,2,4096,16,0,1,231167.97,229539.81,231912.00,4095,4094,2
sharded,2,4096,16,0,1,418605.89,416236.64,424520.80,4096,4095,1
root,2,4096,16,0,1,668746.38,662205.55,690304.08,4097,4095,1
coarse,4,4096,16,0,1,244637.37,244492.24,246441.90,4092,4091,5
sharded,4,4096,16,0,1,479610.75,478836.49,488281.37,4093,4092,4
root,4,4096,16,0,1,1107509.54,1106417.04,1291165.76,4099,4095,1
coarse,8,4096,16,0,1,248003.36,244148.93,249166.42,4084,4083,13
sharded,8,4096,16,0,1,447229.34,443644.27,451287.75,4080,4079,17
root,8,4096,16,0,1,1756945.32,1734155.51,1760455.93,4103,4095,1
legacy,1,4096,1,50,0,9645.85,9646.78,9738.73,4096,4096,0
coarse,2,4096,1,50,0,9878.50,9873.07,9887.47,4097,4096,0
sharded,2,4096,1,50,0,9854.03,9832.47,9892.41,4097,4096,0
root,2,4096,1,50,0,18796.78,18734.88,18886.86,4098,4096,0
legacy,1,4096,64,250,1,140429.88,138731.19,140682.75,4005,4096,0
coarse,4,4096,64,250,1,133883.58,135301.37,137644.24,4017,4016,80
sharded,4,4096,64,250,1,132085.40,132121.23,132464.74,4001,4000,96
root,4,4096,64,250,1,435741.95,433492.20,437894.93,4021,4017,79
legacy,1,4096,16,1000,0,14774.11,14749.55,14775.67,4081,4096,0
coarse,8,4096,16,1000,0,14741.95,14739.24,14745.80,4086,4085,11
sharded,8,4096,16,1000,0,14626.02,14624.19,14632.50,4087,4086,10
root,8,4096,16,1000,0,111194.16,111067.94,111352.58,4104,4096,0
legacy,1,40000,64,0,1,339487.94,327092.39,339487.94,39919,40000,0
coarse,4,40000,64,0,1,114811.03,116887.93,114811.03,39932,39931,69
sharded,4,40000,64,0,1,247095.13,246577.50,247095.13,39921,39920,80
root,4,40000,64,0,1,930248.89,927032.71,930248.89,39918,39914,86
