workload,variant,fixture,operations,A_rate_per_second,B_rate_per_second,B_over_A_median,ci95_low,ci95_high,A_runner_rss_kib,B_runner_rss_kib,digest
legal_count,,midgame_250,100000,1203104.513673,1220694.916519,1.015685,0.964931,1.022730,5664,5554,6d9802c2ed236f83
legal_codes,,midgame_250,20000,155898.087874,160098.551504,1.025673,1.022889,1.028786,5664,5690,9e5be642d05486c3
legal_actions,,midgame_250,20000,170576.459811,169025.685141,0.993457,0.992313,0.996375,5664,5580,9e5be642d05486c3
random_selfplay_apply,,initial,250000,1624975.002985,1628736.614457,1.002240,1.001177,1.003506,5646,5714,3c120106773c3dee
apply_only,,midgame_250,2000000,20056901.758851,19923534.397272,0.988884,0.983581,0.993480,7594,7662,764674ab4e988569
apply_exact_hash,,midgame_250,2000000,9894560.758634,16262705.827100,1.646662,1.640720,1.660837,7740,7768,7b64b5d73134d9fc
cold_hash,,midgame_250,5000000,15165271.507042,15058917.861218,0.992116,0.980557,1.007682,5664,5686,554005299989d381
cached_hash,,midgame_250,20000000,166242986.786623,166454460.336353,1.000943,0.996618,1.003119,5664,5688,82de78b61e73ba4b
legacy_mcts,exact-1T,midgame_250,65536,288959.193867,313365.907610,1.084393,1.077527,1.087660,103138,103152,0ab37fc767a05581
root_parallel,exact-4T,midgame_250,49152,785639.416993,820472.973077,1.053799,1.024470,1.187237,62240,62352,453d804f533de9d0
root_parallel,exact-8T,midgame_250,49152,1255674.588456,1305617.175237,1.036335,1.022745,1.054528,63816,63864,f147a3082e906463
parallel_scheduler,exact-sharded-1T,midgame_250,32768,229353.141345,242575.165266,1.058078,1.052644,1.061283,44114,44144,bde46f4187eed084
parallel_scheduler,exact-sharded-4T,midgame_250,32768,180312.242287,180940.313853,1.004406,0.978232,1.142572,44174,44228,2d63f7f8c2c65ae1
parallel_scheduler,exact-sharded-8T,midgame_250,32768,348612.556132,351486.541100,0.983751,0.807636,1.182973,43896,43946,18ce0f94d174f76d
legacy_mcts,determinized-1T,hidden_reserve,65536,266937.113205,265435.724457,0.997273,0.988968,1.004556,114552,114556,c0e0a3fabe3f65f1
