domain,workload,fixture,operations,pairs,A_median_rate_per_second,B_median_rate_per_second,B_over_A_median,ci95_low,ci95_high,A_median_rss_kib,B_median_rss_kib,digest
primary,determinized_legacy,midgame_250,65536,22,266907.82976841903,269789.6250346678,1.0148405518452785,0.9963094738641407,1.022708016146437,109024.0,109010.0,8d01e7fbc83d3b2e
primary,determinized_legacy,hidden_reserve,65536,22,264467.41865777574,264229.785046419,0.9969039699252421,0.9917044962705975,1.0074016392802494,113164.0,113146.0,2f569d94393e7391
primary,determinized_shared_sharded_1t,midgame_250,32768,22,274039.2083463422,276829.2256228635,1.0133424247706355,1.0063118406701894,1.0180799184664049,50228.0,50228.0,79f6bc134565e542
primary,determinized_root_parallel_4t,midgame_250,49152,22,862340.0736668056,865263.6749782134,1.005353188889759,0.9935387887253674,1.0162957783565574,72760.0,72724.0,fa5b372888eddabb
mechanism,cached_observable_hash,hidden_reserve,5000000,22,38997130.61672284,166151418.3365143,4.2662356117493765,4.252169939806233,4.310392933209731,5750.0,5724.0,85764b7c2f35a703
mechanism,cold_observable_hash,hidden_reserve,5000000,22,38062113.87185795,38104853.961377606,1.0009879197460858,0.9959160452382949,1.013217804206614,5742.0,5716.0,85764b7c2f35a703
mechanism,apply_observable_hash,midgame_250,2000000,22,15313644.910988605,16958086.07981994,1.1097727863018467,1.0976140139574249,1.1281329871833556,7724.0,7738.0,ea9d89797e52b140
guard,board_copy_restore,midgame_250,2000000,22,12736210.260312155,12800112.398295471,1.0045188105723206,0.9995212267021455,1.0202016042696276,5628.0,5576.0,c35f3a2d19cd3783
guard,apply_exact_hash,midgame_250,2000000,22,16732687.685103212,16702389.409947783,0.9984892690573032,0.9959508698520464,0.9991478638326644,7732.0,7736.0,7b64b5d73134d9fc
guard,exact_legacy_same_scaffolding,midgame_250,65536,22,300923.66131487215,307497.74601945304,1.0157286548893574,1.001201979311727,1.017830591809366,101656.0,101674.0,0ab37fc767a05581
guard,phase1a_vs_prototype_exact_legacy,midgame_250,65536,22,305792.4497163927,305207.87671424524,1.0073208334079924,0.9927206992455921,1.018745976091362,101660.0,101676.0,0ab37fc767a05581
guard,legal_count,midgame_250,100000,22,1160559.649580258,1164860.1893743419,1.0047790554380442,0.9995859137909707,1.0130897872399494,5692.0,5708.0,6d9802c2ed236f83
guard,legal_codes,midgame_250,20000,22,166105.20158652056,165895.14640942978,0.9997882781096138,0.9957918489677569,1.0014581190541048,5692.0,5612.0,9e5be642d05486c3
guard,random_selfplay_apply,initial,250000,22,1626710.2524225377,1626366.38473423,0.9993453909800974,0.9969544026030455,1.0022329328956436,5750.0,5742.0,3c120106773c3dee
guard,apply_only,midgame_250,2000000,22,19977520.177758396,20048862.25160238,0.9988785601360092,0.9678128971882173,1.0039405711673097,7676.0,7668.0,764674ab4e988569
guard,clone_light,midgame_250,2000000,22,29032116.275113266,29182587.41499015,1.0114179663055025,0.99743250147277,1.0452731781749525,5520.0,5700.0,89d2d5e057edcb83
guard,determinization_clone,hidden_reserve,200000,22,2991052.185280937,2998612.5320223914,1.0015919712602734,0.9979739648076497,1.0075477410073315,5722.0,5688.0,a7376a5c694d3bcc
