workload,fixture,operations,A_median_rate_per_second,B_median_rate_per_second,B_over_A_median,ci95_low,ci95_high,A_p95_rate_per_second,B_p95_rate_per_second,A_median_runner_rss_kib,B_median_runner_rss_kib,digest
legal_count,midgame_250,100000,2966324.995180819,2975151.582036116,1.0055576670886353,0.9942033484462812,1.011178548249915,3044780.128165599,3054491.444395702,5700.0,5684.0,6d9802c2ed236f83
legal_codes,midgame_250,20000,333028.8302464846,377025.02631811006,1.1320781318646538,1.1290468793853816,1.1364024185322672,335111.84396918386,378335.99683572585,5694.0,5696.0,9e5be642d05486c3
legal_actions,midgame_250,20000,338027.22408537555,337653.35645138903,0.9918512711067232,0.9799547900697878,1.0196578747766618,350948.33293698437,350608.4823742028,5684.0,5702.0,9e5be642d05486c3
random_selfplay_apply,initial,250000,2534748.0931850597,2517211.8328158436,0.9929969741620125,0.9889616397732087,0.9970112769636125,2553871.686632398,2540597.0895996965,5704.0,5684.0,3c120106773c3dee
apply_only,midgame_250,2000000,21453646.119342014,21261795.34504464,0.9961282663662644,0.9822822279637485,1.0000824616589603,22443121.458680842,22334150.029730294,7652.0,7660.0,764674ab4e988569
purchase_apply,midgame_250,2000000,16851532.903228596,16881125.189152032,0.9989248016548028,0.9955001209975936,1.0279206291392335,17028917.52676352,17041620.678632855,7974.0,7982.0,b8a905133af8fe2d
apply_exact_hash,midgame_250,2000000,18694179.70031991,18662500.837158483,0.9978251414389223,0.9956459436147348,1.0097476100339466,18921797.811355334,18920416.20446369,7772.0,7782.0,7b64b5d73134d9fc
apply_observable_hash,midgame_250,2000000,16398885.145830702,16378034.969461828,0.9999014774311199,0.9896907007671272,1.010632559922485,16617355.32642301,16654881.29293367,7652.0,7644.0,ea9d89797e52b140
cold_hash,midgame_250,5000000,16136981.580653986,16069703.111862887,1.0007999102426648,0.9970154582591929,1.001609347698897,16228473.433226382,16226187.879784908,5694.0,5692.0,554005299989d381
cached_hash,midgame_250,20000000,167809170.96309653,167879791.17530522,1.0002625741613052,0.9996489817547753,1.0012112299893474,168040444.20317358,168107630.59902143,5684.0,5686.0,82de78b61e73ba4b
clone_light,midgame_250,2000000,29316199.091285933,29302960.131680742,0.9943061080788622,0.9928944615498688,1.0045100436707783,29466314.098444812,29468721.616123434,5700.0,5694.0,89d2d5e057edcb83
determinization_clone,hidden_reserve,200000,3012069.861859944,3017073.2395485938,0.9987491569788018,0.9935511463628814,1.00459327062766,3045715.114874647,3051324.5646999977,5684.0,5684.0,a7376a5c694d3bcc
state_encoder,midgame_250,500000,1555748.0999961114,1556649.071535936,1.001024626995432,0.9966377940163067,1.0026540531981543,1575200.6422275137,1573932.6110317232,5684.0,5692.0,5751a7c432f052c3
action_mask,midgame_250,20000000,25649214.62283629,25643820.886266068,0.9987804389723344,0.9905040613306055,1.013162912778102,25878166.65198874,25789197.91014755,5692.0,5686.0,3606c9ab74d7af83
decode_apply,midgame_250,2000000,15990748.183246749,15880134.544379406,0.9960317148864425,0.9775715470255376,1.0009891958205717,16394298.80328049,16066396.450440185,7792.0,7784.0,727eb52ac11074e6
legacy_mcts,midgame_250,65536,281641.85357945366,286068.3903722942,1.013392235607777,0.9981102635011745,1.0249015956596292,289674.757604514,294083.21684610547,103166.0,103164.0,0ab37fc767a05581
shared_tree,midgame_250,2000000,3366687.486616133,3529848.7465164843,1.0340010264008723,1.0094100909463566,1.047739325954667,3559267.2638516235,3591959.7466848847,5692.0,5690.0,a8e81331dcb0c399
parallel_scheduler,midgame_250,4096,266763.7195369138,267848.473815138,1.0013887186258053,0.9862915531492297,1.0103218922761172,280159.2870601167,279191.43361029046,10914.0,10952.0,f2563dd286296a84
board_copy_restore,midgame_250,2000000,12793164.700626109,12721540.072620556,0.9997241767889743,0.9823485697192822,1.0166187116785195,13043923.931695852,13020099.78845322,5694.0,5694.0,c35f3a2d19cd3783
solver_state_key,reveal_heavy,2000000,6683513.164208984,6592335.571026097,0.9996828508722106,0.9975941276100303,1.0003454537584493,6730579.088933369,6725269.87701599,5744.0,5732.0,09fabd6c0473eb83
solver_tt,midgame_250,20000000,35456589.47301282,35431610.0024516,0.9995901238051166,0.9965404305173279,1.002826154992973,36650222.513545126,36661561.538403675,5688.0,5708.0,575c26bfdff10f4a
visible_solver,five_moves,100000,688002.3968415139,688508.8124035818,1.001755033120589,0.9971178455868669,1.0082784271480238,691765.7184062446,693010.7422175024,13022.0,13040.0,b6cdbdc80156e463
exact_reveal,five_moves,139868,516599.8379678808,517346.6540363374,1.0018189629296979,0.9931230169681049,1.004185018605397,523885.0227819664,522509.14047807385,16280.0,16304.0,9dd9c11919a4581a
legal_codes,five_moves,200000,5863535.383025559,5851387.371339739,0.997846137771572,0.983784695330023,1.0053937134129123,5916825.236022379,5913203.552282594,5684.0,5684.0,324cf3e3c7099003
legal_codes,token_return,20000,199767.29955080542,222291.3716847659,1.1127315323342837,1.1100279370136092,1.119334096685741,200845.06690069134,222879.5348316996,5608.0,5692.0,f5b2a5e503256383
legal_codes,gold_payment,20000,852248.8912375243,905037.8005411564,1.0627152729104998,1.0586435906801621,1.0674194395964243,855220.4022850469,909010.2592462293,5682.0,5684.0,00445425947da2c3
legal_codes,editor_fallback,2000,11177.335344767716,16248.431584625174,1.4450038630066084,1.4402629778168314,1.4585776052186012,11419.484354830338,16776.786463716555,5712.0,5700.0,6681fd458ed26a83
