workload,fixture,operations,A_median_rate_per_second,B_median_rate_per_second,B_over_A_median,ci95_low,ci95_high,A_median_runner_rss_kib,B_median_runner_rss_kib,digest
legal_count,midgame_250,100000,1170397.928206,3074093.220533,2.621592,2.601411,2.638665,5670,5696,6d9802c2ed236f83
legal_codes,midgame_250,20000,188170.142725,186635.963190,0.995291,0.986957,1.000665,5686,5680,9e5be642d05486c3
legal_actions,midgame_250,20000,169308.176580,186632.585884,1.107615,1.099080,1.118812,5718,5688,9e5be642d05486c3
random_selfplay_apply,initial,250000,1580215.357016,1832979.733185,1.160588,1.157833,1.171484,5720,5720,3c120106773c3dee
apply_only,midgame_250,2000000,16232541.901837,21305915.408016,1.034863,0.999835,1.158891,7682,7680,764674ab4e988569
purchase_apply,midgame_250,2000000,17051943.747652,17080923.059760,1.001180,0.997286,1.002983,8006,8008,b8a905133af8fe2d
apply_exact_hash,midgame_250,2000000,18842993.561072,18872928.048481,0.999106,0.994393,1.000054,7796,7798,7b64b5d73134d9fc
apply_observable_hash,midgame_250,2000000,14717385.898775,13099373.693792,1.004832,0.879617,1.136852,7668,7684,ea9d89797e52b140
cold_hash,midgame_250,5000000,16244795.672208,16291810.636281,1.004131,0.995310,1.019589,5690,5688,554005299989d381
cached_hash,midgame_250,20000000,168559594.425662,168525216.415667,0.999570,0.997134,1.000132,5692,5690,82de78b61e73ba4b
clone_light,midgame_250,2000000,29308711.617982,29338782.141423,1.003074,0.998125,1.006291,5678,5684,89d2d5e057edcb83
determinization_clone,hidden_reserve,200000,2947917.734083,2935441.459114,0.993848,0.990640,0.997805,5680,5680,a7376a5c694d3bcc
state_encoder,midgame_250,500000,1564770.233729,1564966.740991,1.000436,0.998307,1.001316,5594,5684,5751a7c432f052c3
action_mask,midgame_250,20000000,25915936.123093,25924793.206614,1.002902,0.999440,1.007209,5686,5690,3606c9ab74d7af83
decode_apply,midgame_250,2000000,16529847.586101,15919087.644603,0.987710,0.890785,1.090870,7814,7796,727eb52ac11074e6
legacy_mcts,midgame_250,65536,297880.682742,300123.715396,1.012747,1.001319,1.021263,103164,103192,0ab37fc767a05581
shared_tree,midgame_250,2000000,3383269.935084,3368971.553152,0.998192,0.990894,1.005489,5684,5692,a8e81331dcb0c399
parallel_scheduler,midgame_250,4096,266178.390301,267320.537096,1.005133,0.987994,1.014951,10938,10942,f2563dd286296a84
board_copy_restore,midgame_250,2000000,12994974.576497,12635761.745271,0.982692,0.960989,0.990269,5698,5724,c35f3a2d19cd3783
solver_state_key,reveal_heavy,2000000,6738416.595128,6741742.572391,0.999841,0.998580,1.006811,5688,5700,09fabd6c0473eb83
solver_tt,midgame_250,20000000,36777609.130327,36774447.938651,1.000486,0.998665,1.012252,5722,5706,575c26bfdff10f4a
visible_solver,five_moves,100000,641796.571222,645837.256466,0.999532,0.990656,1.012800,12848,13006,b6cdbdc80156e463
exact_reveal,five_moves,139868,512084.548966,514267.748131,1.002377,0.996608,1.004906,16220,16262,9dd9c11919a4581a
