suite,workload,fixture,A_median_rate_per_second,B_median_rate_per_second,B_over_A_median,ci95_low,ci95_high,RSS_A_KiB,RSS_B_KiB,digest
standard,legal_count,midgame_250,3072117.728843,3062780.731722,0.997900,0.990352,1.001353,5696,5688,6d9802c2ed236f83
standard,legal_codes,midgame_250,187356.513571,337820.854063,1.814170,1.800607,1.823317,5694,5690,9e5be642d05486c3
standard,legal_actions,midgame_250,185553.596007,350855.704032,1.857542,1.839016,1.879406,5702,5720,9e5be642d05486c3
standard,random_selfplay_apply,initial,1871922.370476,2548806.615521,1.359412,1.356601,1.364641,5726,5732,3c120106773c3dee
standard,apply_only,midgame_250,22487796.843817,19575540.802300,0.987958,0.852210,1.165025,7652,7664,764674ab4e988569
standard,purchase_apply,midgame_250,17030490.010741,17111193.686627,1.003191,1.002219,1.013200,7970,7978,b8a905133af8fe2d
standard,apply_exact_hash,midgame_250,18792706.101798,18952278.277704,1.008813,0.995598,1.051906,7804,7796,7b64b5d73134d9fc
standard,apply_observable_hash,midgame_250,13047217.445315,16371687.265504,1.010080,0.880128,1.124756,7662,7660,ea9d89797e52b140
standard,cold_hash,midgame_250,16173890.487017,16164747.974735,1.003545,0.994488,1.018441,5712,5688,554005299989d381
standard,cached_hash,midgame_250,164104573.337125,164132088.251982,1.000506,0.999249,1.001190,5684,5696,82de78b61e73ba4b
standard,clone_light,midgame_250,29228825.735945,29193081.577864,0.998292,0.996489,1.005556,5698,5684,89d2d5e057edcb83
standard,determinization_clone,hidden_reserve,2981487.103938,2979711.843435,0.999086,0.995899,1.000851,5712,5700,a7376a5c694d3bcc
standard,state_encoder,midgame_250,1580495.254115,1581367.971574,0.999956,0.998152,1.003166,5696,5698,5751a7c432f052c3
standard,action_mask,midgame_250,25884343.898955,25826461.601357,0.998751,0.995893,0.999842,5694,5692,3606c9ab74d7af83
standard,decode_apply,midgame_250,16246545.526300,13830567.705651,0.998620,0.906946,1.017965,7788,7780,727eb52ac11074e6
standard,legacy_mcts,midgame_250,301528.301592,300403.340277,0.987498,0.983335,0.998012,103182,103178,0ab37fc767a05581
standard,shared_tree,midgame_250,3497964.949235,3554137.578223,1.004998,1.002643,1.013548,5696,5692,a8e81331dcb0c399
standard,parallel_scheduler,midgame_250,279408.713564,280435.302299,1.001697,0.997885,1.006529,10930,10912,f2563dd286296a84
standard,board_copy_restore,midgame_250,13036149.098383,13036722.250296,0.992733,0.943497,1.003920,5696,5696,c35f3a2d19cd3783
standard,solver_state_key,reveal_heavy,6257221.164146,6360929.357058,1.008853,0.984993,1.053860,5684,5732,09fabd6c0473eb83
standard,solver_tt,midgame_250,35897338.315718,35894121.855048,0.999227,0.998267,1.002882,5690,5694,575c26bfdff10f4a
standard,visible_solver,five_moves,667259.657871,688653.039455,1.030074,1.022010,1.037635,12976,12984,b6cdbdc80156e463
standard,exact_reveal,five_moves,512230.880585,508789.727445,1.007328,0.994856,1.013963,16378,16298,9dd9c11919a4581a
edge,legal_codes,token_return,102640.828963,202122.394733,1.934897,1.904874,1.956126,5548,5518,f5b2a5e503256383
edge,legal_actions,token_return,106268.907855,215465.723620,2.022347,1.995805,2.056052,5566,5540,f5b2a5e503256383
edge,legal_codes,editor_fallback,11071.390674,11093.892352,1.007247,0.999196,1.016601,5684,5506,21e782f4bec3c403
edge,legal_codes,five_moves,5909287.827937,5912870.508609,1.002182,0.996694,1.004354,5700,5700,e0c835dd0d8b5dc3
