suite,workload,fixture,A_median_per_sec,B_median_per_sec,B_over_A,ci95_low,ci95_high,RSS_A_KiB,RSS_B_KiB,digest
standard,legal_count,midgame_250,1131856.482578,1129348.144508,0.998906,0.995614,1.003256,5680,5556,6d9802c2ed236f83
standard,legal_codes,midgame_250,149546.906834,182224.935635,1.213434,1.211020,1.232527,5680,5678,9e5be642d05486c3
standard,legal_actions,midgame_250,168528.788713,169270.176944,1.004500,0.970548,1.017280,5678,5552,9e5be642d05486c3
standard,random_selfplay_apply,initial,1625280.777177,1627496.384546,0.998411,0.989104,1.012827,5710,5710,3c120106773c3dee
standard,legacy_mcts,midgame_250,307716.990657,306725.279609,0.994068,0.985924,1.002862,103128,103136,0ab37fc767a05581
standard,board_copy_restore,midgame_250,12033952.202834,12065322.135116,1.007997,0.994371,1.033902,5680,5682,c35f3a2d19cd3783
edge,legal_codes,five_moves,3472753.264395,5894853.963456,1.695158,1.687170,1.703184,5688,5670,e0c835dd0d8b5dc3
edge,legal_codes,initial,1094669.191727,1751225.501141,1.600066,1.597885,1.601594,5596,5534,4ce4edaa55272103
edge,legal_codes,token_return,86086.771491,106099.119940,1.231405,1.214479,1.247404,5680,5552,10a6a9689da71b83
edge,legal_codes,gold_payment,445817.865054,582866.089246,1.308667,1.296068,1.310203,5564,5602,a606503ce5d5e9f3
edge,legal_codes,gold_payment_simple,465130.450400,609291.384276,1.309648,1.306601,1.312090,5680,5546,ca6bc0ccdb769a43
edge,legal_codes,editor_fallback,9405.794311,11198.610713,1.190503,1.188919,1.199656,5536,5664,29abd0a564b97dc3
