workload,fixture,operations,A_median_rate_per_second,B_median_rate_per_second,B_over_A_median,ci95_low,ci95_high,A_p95_rate_per_second,B_p95_rate_per_second,A_median_runner_rss_kib,B_median_runner_rss_kib,digest
legal_count,midgame_250,100000,3038212.499246384,3042741.90098022,1.0037377934437914,0.9994117567109674,1.0046305119955636,3054141.456252295,3055747.3177663963,5696.0,5696.0,6d9802c2ed236f83
legal_codes,midgame_250,20000,376946.0906141796,377184.6305867798,1.0015543531170021,0.999931421189716,1.0028288848881726,378656.9777489882,378454.80214752135,5696.0,5696.0,9e5be642d05486c3
legal_actions,midgame_250,20000,340722.4824324929,337946.79645161575,0.9970034089952192,0.9789831766472685,1.0100054683078767,351917.33906239737,351220.6472830385,5706.0,5704.0,9e5be642d05486c3
random_selfplay_apply,initial,250000,2520758.000441361,2523671.218783115,1.0023596848740657,0.9969479726166223,1.0052856305312323,2548760.2471065996,2545284.576620694,5674.0,5716.0,3c120106773c3dee
apply_only,midgame_250,2000000,21539622.423823997,21825332.91285423,1.0001785018193485,0.9903741060079269,1.0041366068588973,22384560.311935373,22372933.345501076,7668.0,7656.0,764674ab4e988569
purchase_apply,midgame_250,2000000,16326069.868548539,16319014.3758052,1.0022736360878441,0.9954955333222534,1.0052609695009531,16668529.936535595,16770720.678919198,7980.0,7984.0,b8a905133af8fe2d
apply_exact_hash,midgame_250,2000000,18420256.580261186,18474803.79945077,1.000057824716305,0.9974581595259047,1.0162726969911167,18710937.27360031,18675023.530227266,7790.0,7800.0,7b64b5d73134d9fc
apply_observable_hash,midgame_250,2000000,16454354.60898734,16362357.717207443,0.9951394740834023,0.9824327697298867,1.0058629224070244,16689888.863927595,16610415.9473195,7670.0,7666.0,ea9d89797e52b140
cold_hash,midgame_250,5000000,15863565.763561916,15860004.661821194,1.0002270799376438,0.9976741746339496,1.006270948402025,15989706.70637517,16205358.253538378,5698.0,5696.0,554005299989d381
cached_hash,midgame_250,20000000,166865884.44501054,166686339.27246976,0.999566250152524,0.99787214122547,1.0020733086199658,167729037.99115968,168275334.1272277,5706.0,5698.0,82de78b61e73ba4b
clone_light,midgame_250,2000000,28985511.938143373,29004678.0068667,0.9844745676087886,0.954925201986005,1.0136668899530776,29604165.857253797,29643584.059320986,5696.0,5704.0,89d2d5e057edcb83
determinization_clone,hidden_reserve,200000,3039986.6178080738,3035761.4753763173,0.9982633023032127,0.9958986818910837,1.0049277502969358,3049806.11436045,3056045.4781802706,5696.0,5690.0,a7376a5c694d3bcc
state_encoder,midgame_250,500000,1571555.7617771607,1569522.1652649962,0.9982771278264643,0.9965942110213166,1.000121934150979,1575632.9309984525,1576229.1402767731,5712.0,5706.0,5751a7c432f052c3
action_mask,midgame_250,20000000,24803221.716241762,25111306.223500837,1.0071429904921652,0.9927277705452553,1.017493474533945,25788262.593465157,25783064.67273921,5704.0,5710.0,3606c9ab74d7af83
decode_apply,midgame_250,2000000,16378633.201601706,15986453.987457909,0.9838470897703644,0.9663526440762604,0.9969441026000029,16606080.986769937,16539952.330617566,7792.0,7802.0,727eb52ac11074e6
legacy_mcts,midgame_250,65536,290050.72211135895,294215.1872231226,1.0092177105799476,1.0016368368878203,1.0215682644314397,309147.55686459225,310240.6314656524,103182.0,103182.0,0ab37fc767a05581
shared_tree,midgame_250,2000000,3533290.9646821376,3429315.5101111922,0.9929220614655415,0.9724579022773182,1.0401040244081916,3590566.245672239,3590731.0305447658,5704.0,5724.0,a8e81331dcb0c399
parallel_scheduler,midgame_250,4096,275928.02626709896,277328.1810342296,0.9979909042159192,0.9966289464658002,1.0092823118957361,280940.34669892595,279365.6243272171,10936.0,10922.0,f2563dd286296a84
board_copy_restore,midgame_250,2000000,12986309.198998762,12961384.121500004,1.0012498382342565,0.9887499143474928,1.0106926634701403,13084815.685331048,13073858.77601329,5702.0,5696.0,c35f3a2d19cd3783
solver_state_key,reveal_heavy,2000000,6491333.913239041,6528613.249008397,1.003501227655426,0.9936827894324735,1.0143424803849683,6747208.809325933,6703028.345943564,5752.0,5722.0,09fabd6c0473eb83
solver_tt,midgame_250,20000000,35743748.60214104,35655603.02245387,0.9986593533702248,0.9961535390196079,1.0000097011843558,36681563.62925259,36658087.83617468,5712.0,5728.0,575c26bfdff10f4a
visible_solver,five_moves,100000,689649.6056167122,706816.5070335434,1.0194385326028998,1.0171944193168831,1.0261157988666219,694306.3409163479,712044.0308887806,13008.0,12988.0,b6cdbdc80156e463
exact_reveal,five_moves,139868,503355.349798093,643817.0417920647,1.278633300345945,1.2661563765906527,1.2979396683101954,522889.82005578297,667074.1762531992,16310.0,16360.0,9dd9c11919a4581a
