case,A_rate_median,B_rate_median,paired_block_speedup,ci95_low,ci95_high
candidate_v2/formal_cycle,2280801.426852969,2679904.497783073,1.1782976317841893,1.1475035916783725,1.1846359064203698
candidate_v2/formal_deep,973464.3325362857,969001.4864954692,1.003509583009336,0.9894830557672871,1.0439439060906275
candidate_v2/formal_defender,1193114.9725148552,1203920.505856843,1.0092710302887706,0.8951006329585591,1.1414881159752905
candidate_v2/formal_editor,652485.4031126869,654740.9560307887,0.9933132720380143,0.9832481788246497,1.0177048424573245
candidate_v2/formal_proof_off,713905.8023981487,711856.5691786781,1.0058979549039568,0.9829849766429323,1.020048569596253
candidate_v2/formal_proof_on,433756.9113813747,439328.4108024941,1.0072170106590679,0.9927826394551069,1.039010360020334
candidate_v2/formal_shallow,829698.5786201842,833821.2790647103,1.005321890332901,0.9982012921801886,1.0184005878512503
candidate_v2/formal_visible,709342.0741935954,838135.6555164619,1.1750712370633454,1.158357742940601,1.2098442191856018
candidate_v2/formal_warm,2337242.3018871285,2466343.0828969604,1.0548912991617434,1.0170289241457786,1.077075437862514
candidate_v2/holdout_deep,999453.601505474,1005934.6513359982,1.0060060495882528,0.9975084354715079,1.0173384582547358
candidate_v2/holdout_proof_off,726001.8769614093,715087.8689819062,0.9864688934218876,0.9616995403437233,1.0168417602664948
candidate_v2/holdout_proof_on,435896.69524053455,435442.61540070805,0.9837504710523962,0.9615389306954026,1.0087456207382766
candidate_v2/holdout_visible,670164.0599678925,787694.8594934887,1.1920749085491487,1.180268800050122,1.2194992636708613
candidate_v2/native_holdout_proof_batch_off,5300354.248583902,5308735.162900375,1.0030680823219205,0.9996444733450358,1.0052925720514934
candidate_v2/native_holdout_proof_batch_on,851715.9125721604,841001.7602814501,0.9820961938822552,0.9779199509748583,0.9851457791476997
candidate_v2/native_proof_batch_off,5274168.869248033,5299478.41696261,1.0022383129419625,0.9924640540289013,1.011006169576335
candidate_v2/native_proof_batch_on,873252.1447229194,865499.1669440229,0.9874375712016877,0.9769002210972244,1.0214843705260954
candidate_v3/formal_cycle,2197227.0791767044,2567667.602061685,1.1740929653785825,1.1593387291202752,1.175716755921637
candidate_v3/formal_deep,993129.4283858648,992340.4847460662,1.0001189111842603,0.9951797315077481,1.0028492667030902
candidate_v3/formal_defender,1204358.0641161746,1203231.1772342566,1.0009110100374286,0.99371402439167,1.009777885768216
candidate_v3/formal_editor,660764.2801839734,662613.8022687854,0.9997893352800752,0.9975018136490368,1.0087714653868323
candidate_v3/formal_proof_off,732390.8046453495,723207.6899441669,0.9871323767255668,0.9690522214406146,1.0538359842232157
candidate_v3/formal_proof_on,416614.7322270946,417133.09799451113,0.9857941061025354,0.972627358641804,1.0307853471097337
candidate_v3/formal_shallow,825236.0390809036,819816.6280449394,0.9942279360768841,0.9845545066341179,1.0020463838778988
candidate_v3/formal_visible,677358.9508100981,770015.1635678824,1.1824142841815728,1.1685141377378192,1.1879437736048968
candidate_v3/formal_warm,2200350.9680911265,2193474.249108457,1.0063928899984353,0.9988348347168974,1.0174515632466596
candidate_v3/holdout_deep,980515.4329765751,988799.9149792381,0.9923939892051292,0.9854484286911732,1.007168335835341
candidate_v3/holdout_proof_off,717791.6381166195,711909.2196462273,1.0047207202421193,0.9657004453998062,1.0871869658421212
candidate_v3/holdout_proof_on,426892.24466727633,426572.38502300344,1.0103527392576177,0.9614957207767444,1.0468786460799724
candidate_v3/holdout_visible,695403.0442640535,819960.2522379656,1.172451128776982,1.1596284278554048,1.1945773854377932
candidate_v3/native_holdout_proof_batch_off,5277988.476344623,5281399.9975424595,1.0015978460181298,0.9987892983463963,1.0054785507011996
candidate_v3/native_holdout_proof_batch_on,879078.3244320273,873624.5133405589,0.9939694093663658,0.9908064321380542,1.0020133346179656
candidate_v3/native_proof_batch_off,4901067.9814327285,3293883.779221655,0.9940549870207415,0.8415378092038795,1.000269675001909
candidate_v3/native_proof_batch_on,887169.9743531325,875787.0140999813,0.9879442688617077,0.9810590707373542,1.0089482461405768
formal_cycle,2185810.141982888,2573362.3948080754,1.1819853878621076,1.1696034972787652,1.1909274392731621
formal_deep,979306.4591783916,987356.0499134437,1.0064844251940586,0.9963826222716258,1.0095059410144407
formal_defender,1184171.821364353,1189529.8824912482,1.0000444551748395,0.9941537579225396,1.0286443855137888
formal_editor,662552.0905336202,655294.8125376934,0.9913240973280965,0.9861023292472001,1.0001839535908918
formal_proof_off,698955.9099095712,665892.5159578302,0.9688597142415327,0.9384959372537033,1.004657602044084
formal_proof_on,427669.8600549119,419889.39534273464,0.9891231779446322,0.9656685315537118,1.0049032469493506
formal_shallow,825097.1279312875,768473.0341690027,0.9073578610429288,0.8699684783246558,0.9268971121289378
formal_visible,703183.3181042513,833655.5421154832,1.1861576348309946,1.1807420765766918,1.1906248009901412
formal_warm,2285976.86667571,2396646.28679158,1.0470628544479574,1.0426362715916073,1.0509753203064753
holdout_deep,980894.5275002333,980965.6399916131,1.0026497581554805,0.9956217215949422,1.0108586687367027
holdout_proof_off,695665.4133116252,694621.2003410369,0.9810007223094506,0.9640905381411211,1.0160241970330632
holdout_proof_on,427143.29089561617,421736.5297619836,0.9897204856279442,0.9739604485544445,1.0028878653876219
holdout_shallow,818907.927067386,823931.3743857341,1.0150814006252868,0.993321620634936,1.022964103940952
holdout_visible,696615.1476006422,830363.9584059927,1.1885541959365682,1.1775223808605977,1.2125526301086746
native_holdout_proof_batch_off,5252806.394668564,5219105.267361825,0.9940507543071398,0.989368065924013,0.9961787947052196
native_holdout_proof_batch_on,875391.937120578,860579.5614479415,0.9808137626082063,0.9777496761010598,0.9834098112179638
native_proof_batch_off,5263833.334952514,5188687.553422606,0.9861291205611106,0.973931961760888,1.007204089891265
native_proof_batch_on,876095.9882003788,861146.4544351384,0.9841498270197224,0.9752000216780168,0.9918930191550585
native_proof_batch_shallow,877654.736904537,883534.2329396713,1.0132958421058116,0.9979899593719617,1.019180633948756
